Name,Stage,Location
INDESTRUCT AI TECHNOLOGIES PRIVATE LIMITED,Ideation,"Krishnagiri,, Tamil Nadu"
SARTHHAKAI PRIVATE LIMITED,Early Traction,"Gurugram,, Haryana"
OSIRA TECH PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
NOVANIK3DD PRIVATE LIMITED,Early Traction,"East Delhi,, Delhi"
WNI INNOVATIONS PRIVATE LIMITED,Early Traction,"Hyderabad,, Telangana"
COHYVE TECH PRIVATE LIMITED,Validation,"Mumbai,, Maharashtra"
DHARMRAJ INFOTECH PRIVATE LIMITED,Validation,"Patna,, Bihar"
LANCERS CLUB PRIVATE LIMITED,Validation,"Bengaluru Urban,, Karnataka"
JOSEDGE INDIA PRIVATE LIMITED,Validation,"Udaipur,, Rajasthan"
NEO-AVRIO CONSULTANCY LLP,Scaling,"Gurugram,, Haryana"
HARNELV ENGINEERING LLP,Ideation,"Kachchh,, Gujarat"
LEADLLY EDUSOLUTIONS PRIVATE LIMITED,Early Traction,"Kannauj,, Uttar Pradesh"
DM2BUY TECH SOLUTIONS PRIVATE LIMITED,Early Traction,"Gautam Buddha Nagar,, Uttar Pradesh"
JANTA CONSTRUCTION,Validation,"Bareilly,, Uttar Pradesh"
FAMPULSE TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
ENYOBU LOGISTICS PRIVATE LIMITED,Early Traction,"Thiruvananthapuram,, Kerala"
DWC INFRA LLP,Scaling,"Panchkula,, Haryana"
MULTYCOMM INTERACTIVE MEDIA PRIVATE LIMITED,Early Traction,"South Eastdelhi,, Delhi"
NEURAD DIAGNOSTIC & HEALTHCARE LLP,Scaling,"Delhi,, Delhi"
FARHA FOODS PRIVATE LIMITED,Early Traction,"Haridwar,, Uttarakhand"
IM27 DESIGNS (OPC) PRIVATE LIMITED,Scaling,"Panchmahal,, Gujarat"
HELIOSTONE SPECIALITIES PRIVATE LIMITED,Early Traction,"South Eastdelhi,, Delhi"
CAPITAFLOW FINTECH PRIVATE LIMITED,Early Traction,"Ranga Reddy,, Telangana"
CONSINNOV VENTURES PRIVATE LIMITED,Validation,"Chennai,, Tamil Nadu"
MS DC INFRA AND SOLID WASTE,Ideation,"Amreli,, Gujarat"
QUANTUMLEAP TECHNOLOGY PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
PILATEWAVEAI SOFTWARES (OPC) PRIVATE LIMITED,Validation,"Bengaluru Urban,, Karnataka"
DIVINE FASTENERS,Early Traction,"Rajkot,, Gujarat"
VITALERA NUTRITION PRIVATE LIMITED,Scaling,"Pune,, Maharashtra"
GSHOOTS AGTECH PRIVATE LIMITED,Validation,"Mumbai,, Maharashtra"
DHARASHIV CHEMICALS PRIVATE LIMITED,Scaling,"Pune,, Maharashtra"
IMAGE HATCH PRIVATE LIMITED,Ideation,"Thane,, Maharashtra"
64 CHAI BAR HOSPITALITY INDIA PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
PUSHYA VALVES PRIVATE LIMITED,Validation,"Ahmedabad,, Gujarat"
GNX LIFELINE PHARMA LLP,Scaling,"Mumbai Suburban,, Maharashtra"
AITRONIX GLOBAL SOLUTIONS PRIVATE LIMITED,Ideation,"Pune,, Maharashtra"
VIBGYOR FOOD INDUSTRIES,Scaling,"Rajkot,, Gujarat"
BLUENCORE GAMES PRIVATE LIMITED,Early Traction,"Mumbai Suburban,, Maharashtra"
REBATUR TECHNOLOGIES PRIVATE LIMITED,Scaling,"Kozhikode,, Kerala"
PROSCA BUSINESS SOLUTIONS PRIVATE LIMITED,Early Traction,"East Delhi,, Delhi"
OKSTARTUPS VALLEY PRIVATE LIMITED,Scaling,"Gurugram,, Haryana"
SERVAXO EQUIPMENT PRIVATE LIMITED,Validation,"North 24 Parganas,, West Bengal"
SANCTRA DESIGNS PRIVATE LIMITED,Scaling,"Pune,, Maharashtra"
OTHNIELS EXPERIMENT LABS TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Central Delhi,, Delhi"
ZHIVA CONSUMER PRODUCTS (OPC) PRIVATE LIMITED,Ideation,"Mumbai,, Maharashtra"
UTKAL SHRI MEDICARE PRIVATE LIMITED,Early Traction,"Khordha,, Odisha"
INTELLIOWL TECHNOLOGIES PRIVATE LIMITED,Validation,"Hyderabad,, Telangana"
OSR MENTORS,Validation,"Bengaluru,, Karnataka"
AIGEN TECHNOLOGIES PRIVATE LIMITED,Ideation,"West Delhi,, Delhi"
VENEWONE SOLUTIONS PRIVATE LIMITED,Ideation,"Khordha,, Odisha"
ROCKSHINE PROJECTS PRIVATE LIMITED,Early Traction,"Ahmedabad,, Gujarat"
SHLOKA CONSTRUCTIONS,Validation,"Gumla,, Jharkhand"
BLUE FIRE XPERTS INFOTECH OPC PRIVATE LIMITED,Validation,"Tiruchirappalli,, Tamil Nadu"
SAASRAHARVEST EXPORTS PRIVATE LIMITED,Ideation,"Tiruvallur,, Tamil Nadu"
ZYNAPTE TECHNOLOGIES PRIVATE LIMITED,Validation,"Kolkata,, West Bengal"
FIRSTWAVE DIGITAL PARTNERS LLP,Ideation,"Mumbai,, Maharashtra"
M/S. CBR INFRASTRUCTURE,Ideation,"Y.s.r.,, Andhra Pradesh"
SENGER BIO ENERGY PRIVATE LIMITED,Ideation,"Lakhimpur,, Uttar Pradesh"
SAWARIYA SETH ENTERPRISES,Ideation,"Guna,, Madhya Pradesh"
FINXEC INVESTMENT CONSULTANCY PRIVATE LIMITED,Ideation,"Faridabad,, Haryana"
BROONS PLANTATION AND PRODUCE PRIVATE LIMITED,Validation,"Kottayam,, Kerala"
A T ENTERPRISES,Validation,"Bengaluru Rural,, Karnataka"
NISHANT PREMIUMPANTRY PRIVATE LIMITED,Validation,"Purnia,, Bihar"
MJM SECURITY SERVICES PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
A K INFRAS,Validation,"Chennai,, Tamil Nadu"
REWADZ X,Validation,"Hyderabad,, Telangana"
ANANTKAAL LLP,Early Traction,"Surat,, Gujarat"
JACKFRUITTREE SOLUTIONS PRIVATE LIMITED,Ideation,"Hyderabad,, Telangana"
FV ENGINEERING PRIVATE LIMITED,Validation,"Pune,, Maharashtra"
MIPSOFT COMTECH PRIVATE LIMITED,Ideation,"Bengaluru,, Karnataka"
HARISAN INFRA,Ideation,"Surat,, Gujarat"
ACCUSTIX LABORATORY & DIAGNOSTICS PRIVATE LIMITED,Ideation,"Gautam Buddha Nagar,, Uttar Pradesh"
VKUTUMB TECHNOLOGIES LLP,Validation,"Pune,, Maharashtra"
MAHAJAN COMMERCIAL WAREHOUSING,Validation,"Delhi,, Delhi"
MAGIZH DIGITAL MARKETING SOLUTIONS PRIVATE LIMITED,Early Traction,"Madurai,, Tamil Nadu"
AYODIA EXIM PRIVATE LIMITED,Validation,"Sahibzada Ajit Singh Nagar,, Punjab"
REROL REFINERY PRIVATE LIMITED,Early Traction,"Chennai,, Tamil Nadu"
PREDICTSEER TECHNOLOGIES PRIVATE LIMITED,Validation,"Pune,, Maharashtra"
SENSAHEAL INDIA LLP,Validation,"Allahabad,, Uttar Pradesh"
TAIL'S AND COFFEE LLP,Early Traction,"Gurugram,, Haryana"
EKAAKSHAR TECHFIN CONSULTANTS PRIVATE LIMITED,Early Traction,"Durg,, Chhattisgarh"
GODHAN ALLIED PRODUCTS AND SERVICES PRIVATE LIMITED,Early Traction,"Kanpur Nagar,, Uttar Pradesh"
VIRTUVERSE TECHNOLOGIES PRIVATE LIMITED,Validation,"Guntur,, Andhra Pradesh"
PREGNANE HEALTH CARE PRIVATE LIMITED,Validation,"Tiruvallur,, Tamil Nadu"
LEXWELL HEALTHCARE SERVICES PRIVATE LIMITED,Validation,"Tiruvallur,, Tamil Nadu"
ARES LABS LLP,Ideation,"Delhi,, Delhi"
XPLRN PRIVATE LIMITED,Early Traction,"Mumbai,, Maharashtra"
TRIVEDI INDUSTRIES (OPC) PRIVATE LIMITED,Early Traction,"Thane,, Maharashtra"
THAYAMMA GREEN ENERGY TECHNOLOGIES PRIVATE LIMITED,Ideation,"Mysuru,, Karnataka"
NEMA JI FOOD PRODUCTION PRIVATE LIMITED,Early Traction,"Sagar,, Madhya Pradesh"
YASHVEEN IT SERVICES PRIVATE LIMITED,Ideation,"Anantapur,, Andhra Pradesh"
VASHUDHACURI (VASUCI) PRIVATE LIMITED,Scaling,"Lucknow,, Uttar Pradesh"
PURPLE CAP SERVICES PRIVATE LIMITED,Early Traction,"Gautam Buddha Nagar,, Uttar Pradesh"
SBN CONTAINERS PRIVATE LIMITED,Validation,"South 24 Parganas,, West Bengal"
DHANI JEWELS PRIVATE LIMITED,Early Traction,"Surat,, Gujarat"
DEEPSENSE SPORTS TECH PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
HIBOU PRINTTECH PRIVATE LIMITED,Validation,"Thoothukudi,, Tamil Nadu"
STELLARGEN INDIA OVERSEAS PRIVATE LIMITED,Validation,"Lucknow,, Uttar Pradesh"
HEALZAP SERENO PRIVATE LIMITED,Validation,"Thane,, Maharashtra"
MOLPATH PRIVATE LIMITED,Validation,"Virudhunagar,, Tamil Nadu"
VARUNA SAFETY SYSTEMS PRIVATE LIMITED,Ideation,"Shahdara,, Delhi"
DAAKSHAYANI MARKETING AND SERVICES PRIVATE LIMITED,Ideation,"Patna,, Bihar"
DIGIINNOVATIONS INDIA PRIVATE LIMITED,Scaling,"Bengaluru,, Karnataka"
YEK7PAY SOLUTIONS PRIVATE LIMITED,Validation,"Kolkata,, West Bengal"
SHRUGH INNOVATIONS PRIVATE LIMITED,Early Traction,"Thane,, Maharashtra"
THIRDFEED TECHNOLOGIES PRIVATE LIMITED,Ideation,"Bengaluru Urban,, Karnataka"
BYRON AGRO INDIA PRIVATE LIMITED,Validation,"Rajpura,, Punjab"
KB STELLA TECHNOLOGIES PRIVATE LIMITED,Early Traction,"South Eastdelhi,, Delhi"
GETGOOD LIFESTYLE PRIVATE LIMITED,Validation,"Bengaluru Urban,, Karnataka"
MONARCH BUSINESS SOLUTIONS PRIVATE LIMITED,Scaling,"Ernakulam,, Kerala"
TRADIBHA INDIA PRIVATE LIMITED,Early Traction,"Coimbatore,, Tamil Nadu"
FAOL SERVICES PRIVATE LIMITED,Validation,"South West Delhi,, Delhi"
MAITRI ICU PRIVATE LIMITED,Validation,"Bengaluru Urban,, Karnataka"
CAPTERNAL SYSTEMS PRIVATE LIMITED,Scaling,"Pune,, Maharashtra"
CULINARY INSTITUTE INDIA PRIVATE LIMITED,Validation,"North Goa,, Goa"
NANDHKE TECHNOLOGIES PRIVATE LIMITED,Ideation,"Ahmedabad,, Gujarat"
ROAST HOUSE FOODS PRIVATE LIMITED,Validation,"Kanchipuram,, Tamil Nadu"
CREDCO SOURCING PRIVATE LIMITED,Ideation,"North West Delhi,, Delhi"
CODE N CRAYON SOLUTIONS LLP,Validation,"Mumbai,, Maharashtra"
EARTHONIA PRIVATE LIMITED,Ideation,"Lucknow,, Uttar Pradesh"
ISEODANG KOREAN ACADEMY PRIVATE LIMITED,Validation,"South West Delhi,, Delhi"
IEVOLVIX TECHNOLOGIES (OPC) PRIVATE LIMITED,Validation,"Ghaziabad,, Uttar Pradesh"
ENVITECH POLYMERS PRIVATE LIMITED,Validation,"Pune,, Maharashtra"
BIOMEXIA HEALTH CARE PRIVATE LIMITED,Ideation,"Visakhapatnam,, Andhra Pradesh"
CONCITO MIND SOLUTIONS PRIVATE LIMITED,Early Traction,"Medchal Malkajgiri,, Telangana"
PRAJAK MANUFACTURING PRIVATE LIMITED,Ideation,"Faridabad,, Haryana"
SAN INNVOTECH PRIVATE LIMITED,Ideation,"Ambala,, Haryana"
SR INFRA,Ideation,"Dharwad,, Karnataka"
DC-VFX PRIVATE LIMITED,Ideation,"Pune,, Maharashtra"
BUZZEDMEN STUDIO PRIVATE LIMITED,Validation,"Mumbai Suburban,, Maharashtra"
ROSH ROBOTICS LLP,Ideation,"Mumbai,, Maharashtra"
MYSTIC TECHNOLABS LLP,Validation,"Bengaluru,, Karnataka"
ERIXA TECHNOLOGIES PRIVATE LIMITED,Ideation,"Bengaluru,, Karnataka"
FUTUREFLARE TECHNOLOGIES LLP,Validation,"Ghaziabad,, Uttar Pradesh"
Pinecart,Early Traction,"Ghaziabad,, Uttar Pradesh"
YOGINI WELLNESS PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
AGRAWAL AGROPACK PRIVATE LIMITED,Validation,"Hoshangabad,, Madhya Pradesh"
SIVANI INFRA,Ideation,"Durg,, Chhattisgarh"
TRESENSO TECH PRIVATE LIMITED,Validation,"Bengaluru Rural,, Karnataka"
IMPACK INNOVATIONS (OPC) PRIVATE LIMITED,Scaling,"Bengaluru Urban,, Karnataka"
ASSAU NEXUS PRIVATE LIMITED,Ideation,"Bengaluru Urban,, Karnataka"
INDOCUBES PLATFORMS LLP,Validation,"South 24 Parganas,, West Bengal"
OMIJAYA CONSUMER PRIVATE LIMITED,Validation,"Nashik,, Maharashtra"
BYTESCRAFT LLP,Ideation,"Ahmedabad,, Gujarat"
MINTWAYS TECHNOLOGIES PRIVATE LIMITED,Scaling,"Bengaluru Urban,, Karnataka"
MAGICREMEDI PRIVATE LIMITED,Validation,"Mumbai,, Maharashtra"
KUVA BOTANICALS,Validation,"North Goa,, Goa"
SREE RENUKAA MOTORS,Scaling,"Ranga Reddy,, Telangana"
AGRIPORT LIFE LLP,Early Traction,"Nashik,, Maharashtra"
LSC HEALTHCARE PRIVATE LIMITED,Ideation,"Jaipur,, Rajasthan"
CIVIMASTRO TECHNOLOGIES PRIVATE LIMITED,Validation,"Coimbatore,, Tamil Nadu"
VANTHARR TECHNOLOGIES PRIVATE LIMITED,Validation,"Bengaluru Urban,, Karnataka"
MERZADO MARKET TECHNOLOGIES PRIVATE LIMITED,Validation,"Ranga Reddy,, Telangana"
G S R INFRA,Validation,"Bengaluru Urban,, Karnataka"
WILD PUNK PRIVATE LIMITED,Ideation,"Indore,, Madhya Pradesh"
HBC FIRE DOORS,Validation,"Ahmedabad,, Gujarat"
HELIOUS TECH SOLUTIONS PRIVATE LIMITED,Ideation,"Gurugram,, Haryana"
TEAM TONY PRIVATE LIMITED,Validation,"Surendranagar,, Gujarat"
ANUSAMM INFRA LLP,Validation,"Coimbatore,, Tamil Nadu"
ASHER DIGITAL STORE LLP,Early Traction,"Ernakulam,, Kerala"
KAATHPADAR INNOVATIONS PRIVATE LIMITED,Early Traction,"Pune,, Maharashtra"
SAPTEZ TECHNOLOGIES,Ideation,"Ahmedabad,, Gujarat"
PRIMATE EXIM PRIVATE LIMITED,Early Traction,"Gurugram,, Haryana"
LAYERCRAFT TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Kolhapur,, Maharashtra"
LIAAN ECONOSH PRIVATE LIMITED,Ideation,"Bargarh,, Odisha"
GREY THETA INFORMATION SECURITY PRIVATE LIMITED,Validation,"Krishna,, Andhra Pradesh"
NILAYA LIFE AND SKILLS FOUNDATION,Scaling,"Pune,, Maharashtra"
SAWBONES PHARMACEUTICALS PRIVATE LIMITED,Validation,"Palghar,, Maharashtra"
HITKU FOODS PRIVATE LIMITED,Early Traction,"Jamshedpur,, Jharkhand"
HEXEAM SOFTWARE SOLUTIONS LLP,Early Traction,"Kozhikode,, Kerala"
JIVADORI FARMERS PRODUCER COMPANY LIMITED,Ideation,"Limbdi,, Gujarat"
RANI RUDRAMA HEALTH AND WELLNESS LLP,Validation,"Ranga Reddy,, Telangana"
NEXTBULL BROKERAGE PRIVATE LIMITED,Validation,"Karimganj,, Assam"
HKNA SOLUTION PRIVATE LIMITED,Ideation,"Hyderabad,, Telangana"
DREAMBOUND EQUIPMENT PRIVATE LIMITED,Ideation,"Pune,, Maharashtra"
Blinq Mobility Private Limited,Validation,"Gurugram,, Haryana"
EDUQUARTZ PLIX PRIVATE LIMITED,Ideation,"Karimnagar,, Telangana"
QOLLAB VENTURES PRIVATE LIMITED,Early Traction,"Gurugram,, Haryana"
EMBERLANE ENTERPRISES LLP,Ideation,"Bengaluru Urban,, Karnataka"
BAREFOOT S VENTURES LLP,Early Traction,"East Khasi Hills,, Meghalaya"
NOCTURNIX TECHNOLOGIES PRIVATE LIMITED,Ideation,"Anantapur,, Andhra Pradesh"
LOONARAE STUDIO PRIVATE LIMITED,Early Traction,"Mumbai Suburban,, Maharashtra"
VASUDEV TECH HIVE PRIVATE LIMITED,Validation,"East Delhi,, Delhi"
YELLOWHAT TECH PRIVATE LIMITED,Validation,"Mysuru,, Karnataka"
WALLENC PRIVATE LIMITED,Ideation,"Krishna,, Andhra Pradesh"
VOLANT AUTOMOTIVE PRIVATE LIMITED,Early Traction,"Tikamgarh,, Madhya Pradesh"
PSYFOLKS EDUCATION PRIVATE LIMITED,Validation,"Gautam Buddha Nagar,, Uttar Pradesh"
SYNCORB FINTECH PRIVATE LIMITED,Ideation,"Chennai,, Tamil Nadu"
HIMBHAU SOLAR INDIA (OPC) PRIVATE LIMITED,Ideation,"Kangra,, Himachal Pradesh"
GIRUBANANDHAVARI ORGANICS,Ideation,"Cuddalore,, Tamil Nadu"
IMMUNITY SOLAR SERVICES PRIVATE LIMITED,Scaling,"Nashik,, Maharashtra"
BATTERIUM TECHNOLOGY LLP,Validation,"Pune,, Maharashtra"
GISTAI TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
H2I TECHNOLOGIES PRIVATE LIMITED,Early Traction,"Bengaluru Urban,, Karnataka"
UBERMENSCHEN TECH COLLECTIVE PRIVATE LIMITED,Ideation,"Ernakulam,, Kerala"
VEYYIL TEXTILE INNOVATIONS PRIVATE LIMITED,Early Traction,"Chennai,, Tamil Nadu"
BELLCURVE BROKING PRIVATE LIMITED,Early Traction,"Indore,, Madhya Pradesh"
VMP SOLUTIONS LLP,Early Traction,"Nanded,, Maharashtra"
NITROALKANES SPECIALIST PRIVATE LIMITED,Scaling,"Tirupati,, Andhra Pradesh"
DEETSHA RETAIL AND WHOLESALE PRIVATE LIMITED,Ideation,"Tirupathur,, Tamil Nadu"
ANDAI PLATFORMS PRIVATE LIMITED,Early Traction,"Indore,, Madhya Pradesh"
GAZE GUARD PRIVATE LIMITED,Early Traction,"Malappuram,, Kerala"
TRANSBUILD DWELLING PRIVATE LIMITED,Ideation,"Thiruvananthapuram,, Kerala"
M/S PRAVARSH ENTERPRISES,Ideation,"Jabalpur,, Madhya Pradesh"
ENSQUARE GLOBAL,Ideation,"Visakhapatnam,, Andhra Pradesh"
ONE START & COMPANY,Validation,"Bengaluru Urban,, Karnataka"
SUNSHINE WELLNESS,Early Traction,"Wardha,, Maharashtra"
ROYAL GIANT INFRA,Early Traction,"Coimbatore,, Tamil Nadu"
CXGURU CONSULTING INDIA PRIVATE LIMITED,Ideation,"Bengaluru Urban,, Karnataka"
RHUMAN FUEL (OPC) PRIVATE LIMITED,Validation,"Central Delhi,, Delhi"
SOLANKI BROTHERS,Validation,"Surat,, Gujarat"
PAPLA ECOIND LLP,Validation,"Kasaragod,, Kerala"
